volume,slice,band_pos,rel_pos,ratio,method,psnr,ssim
3011.npy,29,0,0.0,0.2,zerofill,19.76365292683157,0.505072780632238
3011.npy,29,0,0.0,0.2,cs,27.1251678574561,0.8138523169353182
3011.npy,29,0,0.0,0.2,ddnm,28.51140965533392,0.8864747549656722
3011.npy,29,0,0.0,0.3,zerofill,18.359972172495304,0.5957926525287836
3011.npy,29,0,0.0,0.3,cs,27.12026167105059,0.8986502723501546
3011.npy,29,0,0.0,0.3,ddnm,30.043997510388245,0.9271024298828893
3011.npy,29,0,0.0,0.5,zerofill,21.88371017489343,0.666400850100476
3011.npy,29,0,0.0,0.5,cs,33.87982254962256,0.9628420851261698
3011.npy,29,0,0.0,0.5,ddnm,34.524660674256815,0.9655248338406172
3011.npy,35,6,0.154,0.2,zerofill,13.173973904175906,0.42528051872635864
3011.npy,35,6,0.154,0.2,cs,13.480664367448538,0.614459102969744
3011.npy,35,6,0.154,0.2,ddnm,26.959457526267204,0.8122148548661601
3011.npy,35,6,0.154,0.3,zerofill,13.089326543841777,0.4797484091626993
3011.npy,35,6,0.154,0.3,cs,14.14801103530636,0.7091419993045532
3011.npy,35,6,0.154,0.3,ddnm,15.437929999336973,0.7368097518105201
3011.npy,35,6,0.154,0.5,zerofill,25.30557845640574,0.7440045293206338
3011.npy,35,6,0.154,0.5,cs,32.82870087135639,0.9720152807040293
3011.npy,35,6,0.154,0.5,ddnm,33.315156393312655,0.9712016940701556
3011.npy,40,11,0.282,0.2,zerofill,20.078949367643894,0.5549185758438708
3011.npy,40,11,0.282,0.2,cs,25.58359598668818,0.8014713719039674
3011.npy,40,11,0.282,0.2,ddnm,29.097469665891534,0.9001872754217524
3011.npy,40,11,0.282,0.3,zerofill,17.639254613396666,0.548763787378518
3011.npy,40,11,0.282,0.3,cs,26.621093305782203,0.896588967508869
3011.npy,40,11,0.282,0.3,ddnm,29.507552022458135,0.8973022731573183
3011.npy,40,11,0.282,0.5,zerofill,26.8925701471978,0.8080200421474588
3011.npy,40,11,0.282,0.5,cs,32.16959267957704,0.9737408214664947
3011.npy,40,11,0.282,0.5,ddnm,32.31005398747976,0.9688990206022924
3011.npy,46,17,0.436,0.2,zerofill,13.269237342171534,0.4526340800454531
3011.npy,46,17,0.436,0.2,cs,13.430670925616372,0.6518416508304701
3011.npy,46,17,0.436,0.2,ddnm,23.264663057092942,0.7326422658789534
3011.npy,46,17,0.436,0.3,zerofill,21.094382345164252,0.6256985608274404
3011.npy,46,17,0.436,0.3,cs,29.436455152235588,0.918994677977652
3011.npy,46,17,0.436,0.3,ddnm,29.86967684692374,0.9296915275103557
3011.npy,46,17,0.436,0.5,zerofill,24.613213974791627,0.78059287445877
3011.npy,46,17,0.436,0.5,cs,32.695560823993034,0.9745043830441006
3011.npy,46,17,0.436,0.5,ddnm,33.1434655410226,0.9614213262272919
3011.npy,51,22,0.564,0.2,zerofill,11.515688575772039,0.3908880078666838
3011.npy,51,22,0.564,0.2,cs,12.435664770670869,0.5600363004882433
3011.npy,51,22,0.564,0.2,ddnm,26.36059728072171,0.8365317694064419
3011.npy,51,22,0.564,0.3,zerofill,11.985522751032626,0.3966724019455427
3011.npy,51,22,0.564,0.3,cs,12.589576360056043,0.6312596032852414
3011.npy,51,22,0.564,0.3,ddnm,25.54500013277866,0.8082591361478592
3011.npy,51,22,0.564,0.5,zerofill,13.036106646771465,0.5964561834419531
3011.npy,51,22,0.564,0.5,cs,12.473877443137614,0.6961685899937755
3011.npy,51,22,0.564,0.5,ddnm,37.64828609966214,0.9713409818915134
3011.npy,57,28,0.718,0.2,zerofill,16.07726982702464,0.4314694387513024
3011.npy,57,28,0.718,0.2,cs,22.32064371433627,0.7253909103834983
3011.npy,57,28,0.718,0.2,ddnm,28.734268651754057,0.8208049605181303
3011.npy,57,28,0.718,0.3,zerofill,18.033165934861152,0.5155120986765219
3011.npy,57,28,0.718,0.3,cs,28.485142719409026,0.8873005782165688
3011.npy,57,28,0.718,0.3,ddnm,30.11699388058834,0.9239998205382957
3011.npy,57,28,0.718,0.5,zerofill,25.144126085801616,0.7534223845240535
3011.npy,57,28,0.718,0.5,cs,33.08615741634869,0.9736284079193844
3011.npy,57,28,0.718,0.5,ddnm,35.40860288060561,0.9735537991988918
3011.npy,62,33,0.846,0.2,zerofill,12.287803697281682,0.39665584919902
