ratio,lambda,psnr_mean,ssim_mean
0.20,0.002,16.7440,0.6450
0.20,0.005,17.6565,0.6753
0.20,0.01,18.2134,0.6817
0.20,0.02,18.1124,0.6547
0.20,0.05,17.0591,0.5714
0.20,0.1,16.0526,0.4878
0.30,0.002,22.5326,0.8117
0.30,0.005,24.2272,0.8446
0.30,0.01,24.7013,0.8424
0.30,0.02,24.1065,0.8130
0.30,0.05,22.1781,0.7296
0.30,0.1,20.5581,0.6356
0.50,0.002,31.9326,0.9469
0.50,0.005,32.0449,0.9476
0.50,0.01,31.1431,0.9431
0.50,0.02,29.8374,0.9305
0.50,0.05,27.5334,0.8870
0.50,0.1,25.4717,0.8211
